"","Airport.Name","Flight.Status","Count"
"103","North Platte Regional Airport Lee Bird Field","Delayed",9
"104","Olympic Dam Airport","Delayed",9
"105","Omora Airport","Delayed",9
"106","Oria Airport","Delayed",9
"107","Port Hope Simpson Airport","Delayed",9
"108","Presidente José Sarney Airport","Delayed",9
"109","Puerto Nare Airport","Delayed",9
"110","Quimper-Cornouaille Airport","Delayed",9
"111","RAF Honington","Delayed",9
"112","Rustaq Airport","Delayed",9
"113","San Fernando Airport","Delayed",9
"114","Santa Ana Del Yacuma Airport","Delayed",9
"115","Santa Cruz Airport","Delayed",9
"116","Senanga Airport","Delayed",9
"117","Senggo Airport","Delayed",9
"118","Shijiazhuang Daguocun International Airport","Delayed",9
"119","Simón Bolívar International Airport","Delayed",9
"120","Southdowns Airport","Delayed",9
"121","St Clair County Airport","Delayed",9
"122","St. Mary's Airport","Delayed",9
"123","Suabi Airport","Delayed",9
"124","Suavanao Airport","Delayed",9
"125","Tin City Long Range Radar Station Airport","Delayed",9
"126","Udine-Campoformido Air Base","Delayed",9
"127","Vologda Airport","Delayed",9
"128","Wilkes Barre Wyoming Valley Airport","Delayed",9
"129","Yangzhou Taizhou Airport","Delayed",9
"130","Adado Airport","Delayed",8
"131","Afton Municipal Airport","Delayed",8
"132","Ajaccio-Napoléon Bonaparte Airport","Delayed",8
"133","Ambriz Airport","Delayed",8
"134","Aniwa Airport","Delayed",8
"135","Arturo Michelena International Airport","Delayed",8
"136","Awaba Airport","Delayed",8
"137","Balesin Island Airport","Delayed",8
"138","Bangassou Airport","Delayed",8
"139","Basankusu Airport","Delayed",8
"140","Biarritz-Anglet-Bayonne Airport","Delayed",8
"141","Big Mountain Airport","Delayed",8
"142","Billy Mitchell Airport","Delayed",8
"143","Bitam Airport","Delayed",8
"144","Blackbushe Airport","Delayed",8
"145","Brandon Municipal Airport","Delayed",8
"146","Broken Bow Municipal Airport","Delayed",8
"147","Cabo Rojo Airport","Delayed",8
"148","Cape Rodney Airport","Delayed",8
"149","Capitán FAP Guillermo Concha Iberico International Airport","Delayed",8
"150","Chigorodó Airport","Delayed",8
"151","Chilliwack Airport","Delayed",8
"152","Choibalsan Airport","Delayed",8
"153","Colonel Hill Airport","Delayed",8
"154","Comiso Airport","Delayed",8
"155","Confresa Airport","Delayed",8
"156","Coonabarabran Airport","Delayed",8
"157","Corvo Airport","Delayed",8
"158","Courtenay Airpark","Delayed",8
"159","Cram Field","Delayed",8
"160","Cuito Cuanavale Airport","Delayed",8
"161","Dawson Creek Airport","Delayed",8
"162","Deering Airport","Delayed",8
"163","Delta County Airport","Delayed",8
"164","Dera Ismael Khan Airport","Delayed",8
"165","Dezful Airport","Delayed",8
"166","Doini Airport","Delayed",8
"167","Dominique Edward Osok Airport","Delayed",8
"168","Don Mueang International Airport","Delayed",8
"169","Dong Tac Airport","Delayed",8
"170","Donnelly Airport","Delayed",8
"171","Douglas Lake Airport","Delayed",8
"172","Downtown-Manhattan/Wall St Heliport","Delayed",8
"173","Dr Ferdinand Lumban Tobing Airport","Delayed",8
"174","Ellsworth Air Force Base","Delayed",8
"175","Enarotali Airport","Delayed",8
"176","Enfidha - Hammamet International Airport","Delayed",8
"177","Erldunda Airport","Delayed",8
"178","Excursion Inlet Seaplane Base","Delayed",8
"179","Exeter International Airport","Delayed",8
"180","Fagali'i Airport","Delayed",8
"181","Fazenda Vassoural Airport","Delayed",8
"182","Flamingo Airport","Delayed",8
"183","Fort Good Hope Airport","Delayed",8
"184","Fort Lauderdale Executive Airport","Delayed",8
"185","Frederick Municipal Airport","Delayed",8
"186","Gatow Airport","Delayed",8
"187","Gore Bay Manitoulin Airport","Delayed",8
"188","Grand Central Airport","Delayed",8
"189","Greene County Airport","Delayed",8
"190","Grundarfjörður Airport","Delayed",8
"191","Guajará-Mirim Airport","Delayed",8
"192","Gualeguaychu Airport","Delayed",8
"193","Hat Yai International Airport","Delayed",8
"194","Hiroshimanishi Airport","Delayed",8
"195","Holt Airport","Delayed",8
"196","Humacao Airport","Delayed",8
"197","Ibo Airport","Delayed",8
"198","Igiugig Airport","Delayed",8
"199","Ipota Airport","Delayed",8
"200","Ivalo Airport","Delayed",8
"201","Jijel Ferhat Abbas Airport","Delayed",8
"202","Kaadedhdhoo Airport","Delayed",8
"203","Khoram Abad Airport","Delayed",8
"204","Kingman Airport","Delayed",8
"205","Kitadaito Airport","Delayed",8
"206","Krasnoselkup Airport","Delayed",8
"207","Kulik Lake Airport","Delayed",8
"208","Lac La Biche Airport","Delayed",8
"209","Lake Cumberland Regional Airport","Delayed",8
"210","Langkawi International Airport","Delayed",8
"211","Las Flores Airport","Delayed",8
"212","Learmonth Airport","Delayed",8
"213","Licenciado Gustavo Díaz Ordaz International Airport","Delayed",8
"214","Lima Allen County Airport","Delayed",8
"215","Linköping City Airport","Delayed",8
"216","Lonely Air Station","Delayed",8
"217","Los Alamos Airport","Delayed",8
"218","Lucapa Airport","Delayed",8
"219","M. Graham Clark Downtown Airport","Delayed",8
"220","Mae Hong Son Airport","Delayed",8
"221","Mampikony Airport","Delayed",8
"222","Manga Airport","Delayed",8
"223","Maquinchao Airport","Delayed",8
"224","Marana Regional Airport","Delayed",8
"225","Mariupol International Airport","Delayed",8
"226","Massawa International Airport","Delayed",8
"227","Mattala Rajapaksa International Airport","Delayed",8
"228","Meselia Airport","Delayed",8
"229","Monterrey Airport","Delayed",8
"230","Mount Hotham Airport","Delayed",8
"231","Muanda Airport","Delayed",8
"232","Namibe Airport","Delayed",8
"233","Namsos Høknesøra Airport","Delayed",8
"234","Norman Manley International Airport","Delayed",8
"235","Northeast Ohio Regional Airport","Delayed",8
"236","Noshahr Airport","Delayed",8
"237","Nueva Hesperides International Airport","Delayed",8
"238","Nulato Airport","Delayed",8
"239","Nyingchi Airport","Delayed",8
"240","Olavarria Airport","Delayed",8
"241","Ontario Municipal Airport","Delayed",8
"242","Ontong Java Atoll Airstrip","Delayed",8
"243","Orlando Sanford International Airport","Delayed",8
"244","Oxford (Kidlington) Airport","Delayed",8
"245","Paso De Los Libres Airport","Delayed",8
"246","Plymouth Municipal Airport","Delayed",8
"247","Poplarville Pearl River County Airport","Delayed",8
"248","Port Clarence Coast Guard Station","Delayed",8
"249","Portage Creek Airport","Delayed",8
"250","Postville Airport","Delayed",8
"251","Poznań-Ławica Airport","Delayed",8
"252","Praslin Airport","Delayed",8
"253","Ramon Air Base","Delayed",8
"254","Ranger Municipal Airport","Delayed",8
"255","Red Lake Airport","Delayed",8
"256","Rennell/Tingoa Airport","Delayed",8
"257","Republic Airport","Delayed",8
"258","Repulse Bay Airport","Delayed",8
"259","Roper Bar Airport","Delayed",8
"260","Rosita Airport","Delayed",8
"261","Ruse Airport","Delayed",8
"262","Sado Airport","Delayed",8
"263","Saibai Island Airport","Delayed",8
"264","Saint-Laurent-du-Maroni Airport","Delayed",8
"265","Salerno Costa d'Amalfi Airport","Delayed",8
"266","Samana El Portillo Airport","Delayed",8
"267","Samangoky Airport","Delayed",8
"268","Sampson County Airport","Delayed",8
"269","Santa Bárbara del Zulia Airport","Delayed",8
"270","Santa Terezinha Airport","Delayed",8
"271","Santos Dumont Airport","Delayed",8
"272","Sechelt-Gibsons Airport","Delayed",8
"273","Shafter Airport - Minter Field","Delayed",8
"274","Shark El Oweinat International Airport","Delayed",8
"275","Sheppard Air Force Base-Wichita Falls Municipal Airport","Delayed",8
"276","Sierra Vista Municipal Libby Army Air Field","Delayed",8
"277","Skopje Alexander the Great Airport","Delayed",8
"278","Songyuan Chaganhu Airport","Delayed",8
"279","Southern California Logistics Airport","Delayed",8
"280","Spokane International Airport","Delayed",8
"281","Spriggs Payne Airport","Delayed",8
"282","Stewart International Airport","Delayed",8
"283","Summerside Airport","Delayed",8
"284","Taiping Airport","Delayed",8
"285","Taku Lodge Seaplane Base","Delayed",8
"286","Tanjung Manis Airport","Delayed",8
"287","Tulsipur Airport","Delayed",8
"288","Vijayanagar Aerodrome (JSW)","Delayed",8
"289","Voinjama Airport","Delayed",8
"290","Wainwright Airport","Delayed",8
"291","Wasu Airport","Delayed",8
"292","Wings Field","Delayed",8
"293","Yasser Arafat International Airport","Delayed",8
"294","Yellowknife Airport","Delayed",8
"295","Yokangassi Airport","Delayed",8
"296","Zadar Airport","Delayed",8
"297","Zhoushan Airport","Delayed",8
"298","Abbse Airport","Delayed",7
"299","Agatti Airport","Delayed",7
"300","Agnew Airport","Delayed",7
"301","Akron Canton Regional Airport","Delayed",7
"302","Akulivik Airport","Delayed",7
"303","Alexandria International Airport","Delayed",7
"304","Alligandi Airport","Delayed",7
"305","Alma Airport","Delayed",7
"306","Alto Parnaíba Airport","Delayed",7
"307","Anadolu Airport","Delayed",7
"308","Andi Jemma Airport","Delayed",7
"309","Angama Airport","Delayed",7
"310","Animas Air Park","Delayed",7
"311","Antsirabato Airport","Delayed",7
"312","Antônio Guerreiro Airport","Delayed",7
"313","Araguaína Airport","Delayed",7
"314","Aropa Airport","Delayed",7
"315","Assiut International Airport","Delayed",7
"316","Astoria Regional Airport","Delayed",7
"317","Astrakhan Airport","Delayed",7
"318","Atar International Airport","Delayed",7
"319","Atqasuk Edward Burnell Sr Memorial Airport","Delayed",7
"320","Augustus Downs Airport","Delayed",7
"321","Bahawalpur Airport","Delayed",7
"322","Bahia - Jorge Amado Airport","Delayed",7
"323","Baicheng Chang'an Airport","Delayed",7
"324","Bakkafjörður Airport","Delayed",7
"325","Baltrum Airport","Delayed",7
"326","Bantry Aerodrome","Delayed",7
"327","Banz Airport","Delayed",7
"328","Bareilly Air Force Station","Delayed",7
"329","Barter Island LRRS Airport","Delayed",7
"330","Bartletts Airport","Delayed",7
"331","Basanth Nagar Airport","Delayed",7
"332","Bathpalathang Airport","Delayed",7
"333","Beaver Creek Airport","Delayed",7
"334","Bella Union Airport","Delayed",7
"335","Bemichi Airport","Delayed",7
"336","Ben Ya'akov Airport","Delayed",7
"337","Berlevåg Airport","Delayed",7
"338","Besalampy Airport","Delayed",7
"339","Bethel Seaplane Base","Delayed",7
"340","Biliau Airport","Delayed",7
"341","Biniguni Airport","Delayed",7
"342","Bisbee Municipal Airport","Delayed",7
"343","Bitburg Airport","Delayed",7
"344","Blue Canyon Nyack Airport","Delayed",7
"345","Borroloola Airport","Delayed",7
"346","Bosset Airport","Delayed",7
"347","Boswell Bay Airport","Delayed",7
"348","Bromont (Roland Desourdy) Airport","Delayed",7
"349","Brookhaven Airport","Delayed",7
"350","Brookings Airport","Delayed",7
"351","Bryant Army Heliport","Delayed",7
"352","Buin Airport","Delayed",7
"353","Bumi Airport","Delayed",7
"354","Burketown Airport","Delayed",7
"355","Burwash Airport","Delayed",7
"356","Butterworth Airport","Delayed",7
"357","Cairo Regional Airport","Delayed",7
"358","Calvi-Sainte-Catherine Airport","Delayed",7
"359","Camilo Daza International Airport","Delayed",7
"360","Camp Bastion Airport","Delayed",7
"361","Caquetania Airport","Delayed",7
"362","Castlereagh Lake Seaplane Base","Delayed",7
"363","Catamarca Airport","Delayed",7
"364","Cattle Creek Airport","Delayed",7
"365","Cauayan Airport","Delayed",7
"366","Charlo Airport","Delayed",7
"367","Charlotte County Airport","Delayed",7
"368","Chautauqua County-Dunkirk Airport","Delayed",7
"369","Chesterfield Inlet Airport","Delayed",7
"370","Chifeng Airport","Delayed",7
"371","Chitato Airport","Delayed",7
"372","Coari Airport","Delayed",7
"373","Columbus Air Force Base","Delayed",7
"374","Columbus Municipal Airport","Delayed",7
"375","Copenhagen Roskilde Airport","Delayed",7
"376","D. Casimiro Szlapelis Airport","Delayed",7
"377","Dabo Airport","Delayed",7
"378","Daet Airport","Delayed",7
"379","Dakhla Airport","Delayed",7
"380","Dalnerechensk Airport","Delayed",7
"381","Decatur HI-Way Airfield","Delayed",7
"382","Decatur Shores Airport","Delayed",7
"383","Decimomannu Air Base","Delayed",7
"384","Dera Ghazi Khan Airport","Delayed",7
"385","Derby Field","Delayed",7
"386","Destin Executive Airport","Delayed",7
"387","Detroit Lakes Airport - Wething Field","Delayed",7
"388","Djambala Airport","Delayed",7
"389","Djibo Airport","Delayed",7
"390","Doha International Airport","Delayed",7
"391","Dr. Arturo H. Illia Airport","Delayed",7
"392","Dresden Airport","Delayed",7
"393","Duncan Airport","Delayed",7
"394","Dzaoudzi Pamandzi International Airport","Delayed",7
"395","Eagle County Regional Airport","Delayed",7
"396","Eagle Lake Airport","Delayed",7
"397","Eastern Oregon Regional At Pendleton Airport","Delayed",7
"398","El Arrayán Airport","Delayed",7
"399","El Loa Airport","Delayed",7
"400","Eliptamin Airport","Delayed",7
"401","Elizabeth Field","Delayed",7
"402","Ellington Airport","Delayed",7
"403","Elliot Lake Municipal Airport","Delayed",7
"404","Ely Airport Yelland Field","Delayed",7
"405","Ely Municipal Airport","Delayed",7
"406","Ende (H Hasan Aroeboesman) Airport","Delayed",7
"407","Ernesto Cortissoz International Airport","Delayed",7
"408","Estadual Arthur Siqueira Airport","Delayed",7
"409","Estevan Airport","Delayed",7
"410","Fairfield Municipal Airport","Delayed",7
"411","Faro Airport","Delayed",7
"412","Felker Army Air Field","Delayed",7
"413","Fetlar Airport","Delayed",7
"414","Forrest City Municipal Airport","Delayed",7
"415","Forster (Wallis Is) Airport","Delayed",7
"416","Fort Mackay / Firebag","Delayed",7
"417","Fort Mcpherson Airport","Delayed",7
"418","Fort Nelson Airport","Delayed",7
"419","Francisco Primo de Verdad y Ramos Airport","Delayed",7
"420","Frankfurt-Hahn Airport","Delayed",7
"421","Fua'amotu International Airport","Delayed",7
"422","Fukui Airport","Delayed",7
"423","Fulton County Airport Brown Field","Delayed",7
"424","Førde Airport","Delayed",7
"425","Gannan Xiahe Airport","Delayed",7
"426","Gaziantep International Airport","Delayed",7
"427","Geilenkirchen Air Base","Delayed",7
"428","George Bush Intercontinental Houston Airport","Delayed",7
"429","George F. L. Charles Airport","Delayed",7
"430","Geraldton Greenstone Regional Airport","Delayed",7
"431","Glasgow Prestwick Airport","Delayed",7
"432","Glen Innes Airport","Delayed",7
"433","Gothenburg-Landvetter Airport","Delayed",7
"434","Goulimime Airport","Delayed",7
"435","Grand Junction Regional Airport","Delayed",7
"436","Grand Marais Cook County Airport","Delayed",7
"437","Greater Cumberland Regional Airport","Delayed",7
"438","Grissom Air Reserve Base","Delayed",7
"439","Grímsey Airport","Delayed",7
"440","Guangzhou Baiyun International Airport","Delayed",7
"441","Gulfport Biloxi International Airport","Delayed",7
"442","Gulu Airport","Delayed",7
"443","Gustavo Rizo Airport","Delayed",7
"444","Halim Perdanakusuma International Airport","Delayed",7
"445","Halliburton Field","Delayed",7
"446","Hawkins Field","Delayed",7
"447","Hazyview Airport","Delayed",7
"448","Heho Airport","Delayed",7
"449","Hendrik Van Eck Airport","Delayed",7
"450","Hobart International Airport","Delayed",7
"451","Holingol Huolinhe Airport","Delayed",7
"452","Hon Airport","Delayed",7
"453","Hope Vale Airport","Delayed",7
"454","Huntsville International Carl T Jones Field","Delayed",7
"455","Héroes De Malvinas Airport","Delayed",7
"456","Ibn Batouta Airport","Delayed",7
"457","Icabarú Airport","Delayed",7
"458","Ilford Airport","Delayed",7
"459","Immokalee Regional Airport","Delayed",7
"460","Independence Municipal Airport","Delayed",7
"461","Indiana County/Jimmy Stewart Fld/ Airport","Delayed",7
"462","Ingeniero Ambrosio Taravella Airport","Delayed",7
"463","Islas Malvinas Airport","Delayed",7
"464","Ithaca Tompkins Regional Airport","Delayed",7
"465","Iğdır Airport","Delayed",7
"466","Jacksonville International Airport","Delayed",7
"467","Jasper County Airport","Delayed",7
"468","Jessore Airport","Delayed",7
"469","Jiansanjiang Airport","Delayed",7
"470","Jinnah International Airport","Delayed",7
"471","John Glenn Columbus International Airport","Delayed",7
"472","Johnson County Airport","Delayed",7
"473","João Correa da Rocha Airport","Delayed",7
"474","Juan Mendoza Airport","Delayed",7
"475","Jurien Bay Airport","Delayed",7
"476","Kabwum","Delayed",7
"477","Kajaani Airport","Delayed",7
"478","Kalaeloa Airport","Delayed",7
"479","Kalpowar Airport","Delayed",7
"480","Kalymnos Airport","Delayed",7
"481","Kamarang Airport","Delayed",7
"482","Karamay Airport","Delayed",7
"483","Kasaba Bay Airport","Delayed",7
"484","Kasompe Airport","Delayed",7
"485","Kefallinia Airport","Delayed",7
"486","Kengtung Airport","Delayed",7
"487","Kenieba Airport","Delayed",7
"488","Kerema Airport","Delayed",7
"489","Khovd Airport","Delayed",7
"490","Kili Airport","Delayed",7
"491","Kilwa Airport","Delayed",7
"492","Kirk Field","Delayed",7
"493","Kisumu Airport","Delayed",7
"494","Kobe Airport","Delayed",7
"495","Kohat Airport","Delayed",7
"496","Koingnaas Airport","Delayed",7
"497","Koliganek Airport","Delayed",7
"498","Koolburra Airport","Delayed",7
"499","Koszalin Zegrze Pomorskie Air Base","Delayed",7
"500","Kotlik Airport","Delayed",7
"501","Kramfors Sollefteå Airport","Delayed",7
"502","Kubin Airport","Delayed",7
"503","L M Clayton Airport","Delayed",7
"504","L.F. Wade International International Airport","Delayed",7
"505","Lac Brochet Airport","Delayed",7
"506","Lahti Vesivehmaa Airport","Delayed",7
"507","Lake Macquarie Airport","Delayed",7
"508","Lalibella Airport","Delayed",7
"509","Lavan Island Airport","Delayed",7
"510","Lawas Airport","Delayed",7
"511","Lebanon Municipal Airport","Delayed",7
"512","Lennart Meri Tallinn Airport","Delayed",7
"513","Lidköping-Hovby Airport","Delayed",7
"514","Lightning Ridge Airport","Delayed",7
"515","Lipetsk Airport","Delayed",7
"516","Lisala Airport","Delayed",7
"517","Lissadell Airport","Delayed",7
"518","Liuzhou Bailian Airport","Delayed",7
"519","Livengood Camp Airport","Delayed",7
"520","Lockhart River Airport","Delayed",7
"521","Loikaw Airport","Delayed",7
"522","London Biggin Hill Airport","Delayed",7
"523","Lovell Field","Delayed",7
"524","Luang Phabang International Airport","Delayed",7
"525","Luiza Airport","Delayed",7
"526","Luoyang Airport","Delayed",7
"527","Lyon Saint-Exupéry Airport","Delayed",7
"528","Maastricht Aachen Airport","Delayed",7
"529","Mactan Cebu International Airport","Delayed",7
"530","Magdagachi Airport","Delayed",7
"531","Mahanoro Airport","Delayed",7
"532","Maimun Saleh Airport","Delayed",7
"533","Malmstrom Air Force Base","Delayed",7
"534","Malolo Lailai Island Airport","Delayed",7
"535","Malvinas Argentinas Airport","Delayed",7
"536","Manassas Regional Airport/Harry P. Davis Field","Delayed",7
"537","Mangaia Island Airport","Delayed",7
"538","Mardin Airport","Delayed",7
"539","Margaret River (Station) Airport","Delayed",7
"540","Mason County Airport","Delayed",7
"541","Mataveri Airport","Delayed",7
"542","Maya-Maya Airport","Delayed",7
"543","McCall Municipal Airport","Delayed",7
"544","Mechanics Bay Heliport","Delayed",7
"545","Melfi Airport","Delayed",7
"546","Mende-Brenoux Airfield","Delayed",7
"547","Merimbula Airport","Delayed",7
"548","Mifflin County Airport","Delayed",7
"549","Miller Field","Delayed",7
"550","Mineral Wells Airport","Delayed",7
"551","Minhas Air Base","Delayed",7
"552","Miri Airport","Delayed",7
"553","Momote Airport","Delayed",7
"554","Monroe County Airport","Delayed",7
"555","Mooraberree Airport","Delayed",7
"556","Morlaix-Ploujean Airport","Delayed",7
"557","Moses Kilangin Airport","Delayed",7
"558","Mostar International Airport","Delayed",7
"559","Mosul International Airport","Delayed",7
"560","Mount Keith Airport","Delayed",7
"561","Mount Sanford Station Airport","Delayed",7
"562","Moyale Airport","Delayed",7
"563","Mvuu Camp Airport","Delayed",7
"564","Mwanza Airport","Delayed",7
"565","Nakuru Airport","Delayed",7
"566","Nana Airport","Delayed",7
"567","Nanchong Airport","Delayed",7
"568","Napperby Airport","Delayed",7
"569","Naval Station Mayport (Admiral David L. Mcdonald Field)","Delayed",7
"570","Necochea Airport","Delayed",7
"571","Neil Armstrong Airport","Delayed",7
"572","Newcastle Airport","Delayed",7
"573","Newport Municipal Airport","Delayed",7
"574","Newport State Airport","Delayed",7
"575","Nicosia International Airport","Delayed",7
"576","Nioki Airport","Delayed",7
"577","Norden-Norddeich Airport","Delayed",7
"578","Northeast Alabama Regional Airport","Delayed",7
"579","Nukutavake Airport","Delayed",7
"580","OR Tambo International Airport","Delayed",7
"581","Obo Airport","Delayed",7
"582","Olive Branch Airport","Delayed",7
"583","Orestes Acosta Airport","Delayed",7
"584","Ormoc Airport","Delayed",7
"585","Ossima Airport","Delayed",7
"586","Ouyen Airport","Delayed",7
"587","Paiela Airport","Delayed",7
"588","Palo Verde Airport","Delayed",7
"589","Pamplona Airport","Delayed",7
"590","Paraguaçu Airport","Delayed",7
"591","Park Township Airport","Delayed",7
"592","Pasighat Airport","Delayed",7
"593","Pastos Bons Airport","Delayed",7
"594","Patuxent River Naval Air Station (Trapnell Field)","Delayed",7
"595","Pender Harbour Seaplane Base","Delayed",7
"596","Perryville Airport","Delayed",7
"597","Picton Aerodrome","Delayed",7
"598","Pilanesberg International Airport","Delayed",7
"599","Pimaga Airport","Delayed",7
"600","Po Airport","Delayed",7
"601","Pocatello Regional Airport","Delayed",7
"602","Point Baker Seaplane Base","Delayed",7
"603","Port Alexander Seaplane Base","Delayed",7
"604","Port Augusta Airport","Delayed",7
"605","Port Harcourt International Airport","Delayed",7
"606","Porto Santo Airport","Delayed",7
"607","Preah Vinhear Airport","Delayed",7
"608","Presidente Peron Airport","Delayed",7
"609","Presidente Venceslau Airport","Delayed",7
"610","Proma Heliport","Delayed",7
"611","Puerto Jimenez Airport","Delayed",7
"612","Přerov Air Base","Delayed",7
"613","RAF Leuchars","Delayed",7
"614","Rajiv Gandhi International Airport","Delayed",7
"615","Ratnagiri Airport","Delayed",7
"616","Rebun Airport","Delayed",7
"617","Regional de Maringá - Sílvio Nane Junior Airport","Delayed",7
"618","Rehoboth Airport","Delayed",7
"619","Resolute Bay Airport","Delayed",7
"620","Riverside Airport","Delayed",7
"621","Riyadh Air Base","Delayed",7
"622","Rogers Municipal Airport-Carter Field","Delayed",7
"623","Rokot Airport","Delayed",7
"624","Roma Airport","Delayed",7
"625","Rota International Airport","Delayed",7
"626","Rota Naval Station Airport","Delayed",7
"627","Rotterdam The Hague Airport","Delayed",7
"628","Round Lake (Weagamow Lake) Airport","Delayed",7
"629","Sadiq Abubakar III International Airport","Delayed",7
"630","Salak Airport","Delayed",7
"631","Salina Cruz Naval Air Station","Delayed",7
"632","Santana Ramos Airport","Delayed",7
"633","Sarandi Airport","Delayed",7
"634","Satwag Airport","Delayed",7
"635","Sauðárkrókur Airport","Delayed",7
"636","Savoonga Airport","Delayed",7
"637","Saúl Airport","Delayed",7
"638","Schoolcraft County Airport","Delayed",7
"639","Scone Airport","Delayed",7
"640","Semera Airport","Delayed",7
"641","Semonkong Airport","Delayed",7
"642","Sena Madureira Airport","Delayed",7
"643","Sepulot Airport","Delayed",7
"644","Sertanópolis Airport","Delayed",7
"645","Shakhtyorsk Airport","Delayed",7
"646","Shark Bay Airport","Delayed",7
"647","Shinyanga Airport","Delayed",7
"648","Sialkot Airport","Delayed",7
"649","Siasi Airport","Delayed",7
"650","Sibiti Airport","Delayed",7
"651","Simferopol International Airport","Delayed",7
"652","Skagway Airport","Delayed",7
"653","Smiths Falls-Montague (Russ Beach) Airport","Delayed",7
"654","Songea Airport","Delayed",7
"655","Songwe Airport","Delayed",7
"656","Sparti Airport","Delayed",7
"657","St. Theresa Point Airport","Delayed",7
"658","Stanthorpe Airport","Delayed",7
"659","Stella Maris Airport","Delayed",7
"660","Sultan Thaha Airport","Delayed",7
"661","Sungei Tekai Airport","Delayed",7
"662","Suvarnabhumi Airport","Delayed",7
