"","Airport.Name","Total Flights","Delayed Flights","Delayed Percentage"
"388","Aragip Airport",6,2,33.3333333333333
"389","Araguaiana Airport",9,4,44.4444444444444
"390","Araguaína Airport",12,7,58.3333333333333
"391","Arak Airport",8,6,75
"392","Aramac Airport",9,5,55.5555555555556
"393","Aransas County Airport",9,2,22.2222222222222
"394","Arapahoe Municipal Airport",13,3,23.0769230769231
"395","Arapiraca Airport",9,4,44.4444444444444
"396","Arapongas Airport",15,6,40
"397","Arapoti Airport",12,2,16.6666666666667
"398","Arar Domestic Airport",11,4,36.3636363636364
"399","Araracuara Airport",11,4,36.3636363636364
"400","Araraquara Airport",8,3,37.5
"401","Ararat Airport",11,2,18.1818181818182
"402","Arathusa Safari Lodge Airport",16,6,37.5
"403","Aratika Nord Airport",12,4,33.3333333333333
"404","Arawa Airport",14,6,42.8571428571429
"405","Araxos Airport",11,4,36.3636363636364
"406","Araçatuba Airport",16,3,18.75
"407","Arba Minch Airport",8,1,12.5
"408","Arboletes Airport",12,4,33.3333333333333
"409","Arctic Bay Airport",7,3,42.8571428571429
"410","Arctic Village Airport",9,2,22.2222222222222
"411","Ardabil Airport",12,2,16.6666666666667
"412","Ardmore Airport",9,4,44.4444444444444
"413","Ardmore Downtown Executive Airport",12,2,16.6666666666667
"414","Ardmore Municipal Airport",6,2,33.3333333333333
"415","Area De Material Airport",9,4,44.4444444444444
"416","Arenal Airport",10,5,50
"417","Argyle Airport",8,1,12.5
"418","Argyle Downs Airport",14,3,21.4285714285714
"419","Argyle International Airport",4,2,50
"420","Aribinda Airport",11,2,18.1818181818182
"421","Arica Airport",12,3,25
"422","Aripuanã Airport",8,0,0
"423","Arkalyk North Airport",2,0,0
"424","Arkansas International Airport",7,2,28.5714285714286
"425","Arlington Municipal Airport",7,3,42.8571428571429
"426","Arlit Airport",10,4,40
"427","Arly Airport",12,1,8.33333333333333
"428","Armando Schwarck Airport",9,3,33.3333333333333
"429","Armidale Airport",10,3,30
"430","Armstrong Airport",10,2,20
"431","Arnold Air Force Base",9,4,44.4444444444444
"432","Arnold Palmer Regional Airport",7,3,42.8571428571429
"433","Aroa Airport",13,2,15.3846153846154
"434","Aropa Airport",10,7,70
"435","Arorae Island Airport",14,6,42.8571428571429
"436","Arrabury Airport",14,1,7.14285714285714
"437","Arrachart Airport",16,4,25
"438","Arraias Airport",7,3,42.8571428571429
"439","Arso Airport",7,3,42.8571428571429
"440","Artesia Municipal Airport",8,2,25
"441","Arthur N Neu Airport",11,3,27.2727272727273
"442","Arthur's Town Airport",15,6,40
"443","Artigas International Airport",11,3,27.2727272727273
"444","Arturo Michelena International Airport",13,8,61.5384615384615
"445","Arua Airport",13,3,23.0769230769231
"446","Arugam Bay SPB",8,5,62.5
"447","Arusha Airport",13,4,30.7692307692308
"448","Arutua Airport",9,1,11.1111111111111
"449","Arvaikheer Airport",10,5,50
"450","Arviat Airport",18,4,22.2222222222222
"451","Arvidsjaur Airport",7,5,71.4285714285714
"452","Arxan Yi'ershi Airport",13,5,38.4615384615385
"453","Asaba International Airport",14,4,28.5714285714286
"454","Asahikawa Airport",11,5,45.4545454545455
"455","Asaloyeh Airport",8,3,37.5
"456","Asapa Airport",9,3,33.3333333333333
"457","Asau Airport",7,3,42.8571428571429
"458","Asbury Park Neptune Air Terminal",10,3,30
"459","Ascención De Guarayos Airport",8,1,12.5
"460","Ascona Airport",13,2,15.3846153846154
"461","Aseki Airport",11,3,27.2727272727273
"462","Ashburton Aerodrome",5,2,40
"463","Asheville Regional Airport",8,3,37.5
"464","Ashgabat International Airport",9,4,44.4444444444444
"465","Ashland Municipal Sumner Parker Field",9,2,22.2222222222222
"466","Ashley Municipal Airport",6,2,33.3333333333333
"467","Asirim Airport",9,2,22.2222222222222
"468","Asmara International Airport",8,4,50
"469","Asosa Airport",12,4,33.3333333333333
"470","Aspen-Pitkin Co/Sardy Field",7,3,42.8571428571429
"471","Assab International Airport",11,4,36.3636363636364
"472","Assiut International Airport",11,7,63.6363636363636
"473","Astana International Airport",7,1,14.2857142857143
"474","Astoria Regional Airport",10,7,70
"475","Astrakhan Airport",14,7,50
"476","Asturias Airport",9,4,44.4444444444444
"477","Astypalaia Airport",9,2,22.2222222222222
"478","Aswan International Airport",13,3,23.0769230769231
"479","Ataq Airport",7,0,0
"480","Atar International Airport",14,7,50
"481","Atatürk International Airport",7,2,28.5714285714286
"482","Atauro Airport",9,5,55.5555555555556
"483","Atbara Airport",11,6,54.5454545454545
"484","Atbasar Airport",11,4,36.3636363636364
"485","Athen Helenikon Airport",11,5,45.4545454545455
"486","Athens Ben Epps Airport",11,3,27.2727272727273
"487","Ati Airport",11,5,45.4545454545455
"488","Atikokan Municipal Airport",6,2,33.3333333333333
"489","Atizapan De Zaragoza Airport",6,1,16.6666666666667
"490","Atka Airport",10,2,20
"491","Atkamba Airport",18,6,33.3333333333333
"492","Atlantic City International Airport",11,3,27.2727272727273
"493","Atlantic City Municipal Bader Field",10,6,60
"494","Atlantic Municipal Airport",8,3,37.5
"495","Atlas Brasil Cantanhede Airport",9,3,33.3333333333333
"496","Atmautluak Airport",13,4,30.7692307692308
"497","Atqasuk Edward Burnell Sr Memorial Airport",11,7,63.6363636363636
"498","Atsinanana Airport",11,5,45.4545454545455
"499","Atsugi Naval Air Facility",8,4,50
"500","Attawapiskat Airport",12,1,8.33333333333333
"501","Attopeu Airport",9,3,33.3333333333333
"502","Attu Heliport",5,1,20
"503","Atyrau Airport",14,6,42.8571428571429
"504","Aua Island Airport",8,2,25
"505","Aubenas-Ardèche Méridional Airport",8,1,12.5
"506","Auburn Lewiston Municipal Airport",12,2,16.6666666666667
"507","Auburn Municipal Airport",11,3,27.2727272727273
"508","Auburn University Regional Airport",13,5,38.4615384615385
"509","Auckland International Airport",9,2,22.2222222222222
"510","Augsburg Airport",8,2,25
"511","Augusta Regional At Bush Field",10,2,20
"512","Augusta State Airport",14,6,42.8571428571429
"513","Augusto C. Sandino (Managua) International Airport",9,4,44.4444444444444
"514","Augustus Downs Airport",8,7,87.5
"515","Aumo Airport",7,1,14.2857142857143
"516","Aupaluk Airport",7,4,57.1428571428571
"517","Aur Island Airport",10,2,20
"518","Aurangabad Airport",11,4,36.3636363636364
"519","Aurillac Airport",8,0,0
"520","Aurora Municipal Airport",13,4,30.7692307692308
"521","Aurukun Airport",10,0,0
"522","Austin Airport",5,2,40
"523","Austin Bergstrom International Airport",7,4,57.1428571428571
"524","Austin Municipal Airport",11,3,27.2727272727273
"525","Austin Robert Mueller Municipal",11,1,9.09090909090909
"526","Austin Straubel International Airport",15,5,33.3333333333333
"527","Austral Downs Airport",9,2,22.2222222222222
"528","Auvergne Airport",17,5,29.4117647058824
"529","Auxerre-Branches Airport",6,1,16.6666666666667
"530","Auxiliary Airfield",9,5,55.5555555555556
"531","Avalon Airport",10,4,40
"532","Avaratra Airport",11,2,18.1818181818182
"533","Avenger Field",7,2,28.5714285714286
"534","Aviador C. Campos Airport",9,1,11.1111111111111
"535","Aviano Air Base",10,4,40
"536","Avignon-Caumont Airport",10,1,10
"537","Avon Park Executive Airport",15,9,60
"538","Avu Avu Airport",12,6,50
"539","Awaba Airport",20,8,40
"540","Awang Airport",14,5,35.7142857142857
"541","Awar Airport",17,6,35.2941176470588
"542","Awassa Airport",8,3,37.5
"543","Axum Airport",6,0,0
"544","Ayacucho Airport",10,6,60
"545","Ayapel Airport",16,4,25
"546","Ayawasi Airport",3,2,66.6666666666667
"547","Ayers Rock Connellan Airport",10,6,60
"548","Ayr Airport",10,6,60
"549","Azaza Airport",12,3,25
"550","Ağrı Airport",12,2,16.6666666666667
"551","Babanakira Airport",10,5,50
"552","Babelthuap Airport",5,3,60
"553","Babo Airport",19,3,15.7894736842105
"554","Baca Grande Airfield",14,1,7.14285714285714
"555","Bacacheri Airport",13,4,30.7692307692308
"556","Bachigualato Federal International Airport",10,2,20
"557","Baco Airport",16,3,18.75
"558","Bacolod-Silay Airport",10,5,50
"559","Bacău Airport",13,3,23.0769230769231
"560","Badajoz Airport",11,5,45.4545454545455
"561","Bade Airport",9,2,22.2222222222222
"562","Badu Island Airport",12,3,25
"563","Bafoussam Airport",13,4,30.7692307692308
"564","Bagan Airport",10,3,30
"565","Baganga airport",9,6,66.6666666666667
"566","Bagdad Airport",8,2,25
"567","Bagdogra Airport",11,1,9.09090909090909
"568","Baghdad International Airport",6,2,33.3333333333333
"569","Baglung Airport",5,3,60
"570","Bagram Air Base",14,5,35.7142857142857
"571","Bahawalnagar Airport",13,3,23.0769230769231
"572","Bahawalpur Airport",13,7,53.8461538461538
"573","Bahia - Jorge Amado Airport",13,7,53.8461538461538
"574","Bahia Cupica Airport",12,6,50
"575","Bahia Piña Airport",9,4,44.4444444444444
"576","Bahir Dar Airport",8,1,12.5
"577","Bahja Airport",9,2,22.2222222222222
"578","Bahrain International Airport",12,3,25
"579","Bahía Negra Airport",10,4,40
"580","Bahía de los Ángeles Airport",10,6,60
"581","Bahías de Huatulco International Airport",10,2,20
"582","Baibara Airport",15,5,33.3333333333333
"583","Baicheng Chang'an Airport",13,7,53.8461538461538
